timestamp,temp,hum,batt_soc,batt_temp,pm2.5,pm10,no2_we,ox_we
2024-08-01 00:00:00,59.0,74.49,68.84,63.07,17.08,27.13,249.93,250.0
2024-08-01 00:10:00,65.83,73.19,68.37,67.29,28.33,38.15,235.66,254.22
2024-08-01 00:20:00,63.53,78.51,67.75,68.43,5.0,10.0,244.92,250.0
2024-08-01 00:30:00,63.67,74.06,66.88,69.88,16.75,30.71,243.68,250.0
2024-08-01 00:40:00,64.04,80.0,66.32,68.46,5.0,12.48,202.86,250.0
2024-08-01 00:50:00,60.29,70.98,65.7,64.69,20.03,30.6,254.5,251.61
2024-08-01 01:00:00,59.0,71.88,64.79,60.79,16.58,31.81,258.27,250.0
2024-08-01 01:10:00,68.68,70.85,63.97,74.62,20.43,26.83,322.81,250.0
2024-08-01 01:20:00,65.74,70.38,63.03,71.57,17.4,29.88,275.99,250.0
2024-08-01 01:30:00,64.99,73.36,62.46,68.39,10.39,13.42,267.44,250.0
2024-08-01 01:40:00,68.99,74.2,61.74,69.4,7.72,29.41,253.8,250.0
2024-08-01 01:50:00,59.0,64.46,60.78,64.4,23.21,34.69,232.63,250.0
2024-08-01 02:00:00,59.0,73.96,60.15,64.32,16.41,25.46,255.6,250.0
2024-08-01 02:10:00,60.13,70.38,59.27,68.07,9.47,16.13,242.78,250.0
2024-08-01 02:20:00,65.78,66.07,58.35,69.49,17.59,35.25,277.11,250.0
2024-08-01 02:30:00,71.34,71.18,58.51,78.18,8.95,14.28,263.22,285.57
2024-08-01 02:40:00,66.77,70.51,57.74,70.18,14.83,28.69,280.05,250.0
2024-08-01 02:50:00,60.35,68.72,56.91,64.07,9.89,20.67,231.38,250.0
2024-08-01 03:00:00,63.61,71.46,55.93,68.19,16.11,29.93,245.09,250.0
2024-08-01 03:10:00,63.95,72.52,55.34,70.31,14.99,19.23,219.03,262.15
2024-08-01 03:20:00,67.53,65.35,54.68,75.24,5.0,10.7,243.8,250.0
2024-08-01 03:30:00,63.46,55.02,53.56,66.81,5.0,10.0,324.28,250.0
2024-08-01 03:40:00,73.79,65.17,52.6,77.36,24.44,44.54,244.27,260.14
2024-08-01 03:50:00,73.1,71.91,51.9,73.79,8.4,17.07,301.99,250.0
2024-08-01 04:00:00,70.69,70.73,51.32,71.62,7.19,14.85,213.37,258.5
2024-08-01 04:10:00,69.57,69.83,50.44,74.2,15.66,31.72,250.79,250.0
2024-08-01 04:20:00,71.02,68.16,49.61,77.4,15.15,23.82,225.54,250.0
2024-08-01 04:30:00,68.6,66.37,48.92,71.86,6.05,11.72,244.09,251.46
2024-08-01 04:40:00,74.56,69.92,48.24,77.13,5.43,10.0,237.94,258.73
2024-08-01 04:50:00,72.67,71.28,47.53,77.4,7.15,18.36,251.02,270.02
2024-08-01 05:00:00,76.24,63.71,46.39,78.18,19.12,28.41,200.0,277.36
2024-08-01 05:10:00,67.24,64.5,45.48,72.75,6.18,10.0,281.4,250.0
2024-08-01 05:20:00,75.9,66.67,45.33,77.67,19.14,24.42,266.73,250.0
2024-08-01 05:30:00,73.32,64.21,44.72,76.62,16.6,28.59,251.92,258.93
2024-08-01 05:40:00,75.32,62.06,43.99,77.12,14.37,26.64,242.84,262.21
2024-08-01 05:50:00,68.91,62.19,43.15,72.66,9.86,20.72,269.74,287.22
2024-08-01 06:00:00,76.53,58.36,43.1,80.12,5.0,10.0,246.4,267.25
2024-08-01 06:10:00,72.01,56.55,44.15,77.86,18.45,26.37,268.44,306.25
2024-08-01 06:20:00,74.2,59.28,44.31,77.73,26.71,45.53,265.93,289.24
2024-08-01 06:30:00,72.96,57.38,44.56,76.11,19.86,36.43,252.6,266.15
2024-08-01 06:40:00,75.6,58.24,44.58,77.32,18.7,39.73,261.42,309.63
2024-08-01 06:50:00,70.09,56.45,44.53,71.88,20.66,36.33,266.25,260.14
2024-08-01 07:00:00,76.22,61.79,44.62,80.18,28.74,59.89,286.43,288.18
2024-08-01 07:10:00,81.31,60.88,45.99,83.14,35.4,50.73,363.92,329.81
2024-08-01 07:20:00,71.65,56.11,46.29,73.73,40.36,64.2,285.22,350.3
2024-08-01 07:30:00,83.71,52.22,46.53,87.05,39.34,68.63,338.88,317.35
2024-08-01 07:40:00,78.36,51.71,47.12,79.59,26.23,43.04,281.64,307.08
2024-08-01 07:50:00,79.75,61.55,48.76,82.86,29.2,43.31,347.77,367.37
2024-08-01 08:00:00,81.22,52.74,50.33,86.94,30.02,52.98,361.73,338.24
2024-08-01 08:10:00,84.39,55.02,52.24,90.13,30.92,65.29,341.28,351.62
2024-08-01 08:20:00,89.67,62.99,52.98,95.72,35.41,53.42,331.97,320.54
2024-08-01 08:30:00,84.85,52.7,53.86,89.32,20.33,46.22,274.58,346.1
2024-08-01 08:40:00,82.09,49.09,55.65,84.58,29.72,52.48,294.32,329.6
2024-08-01 08:50:00,85.14,54.25,56.9,87.42,28.3,45.08,351.73,309.61
2024-08-01 09:00:00,88.38,55.43,59.28,87.79,29.52,52.63,314.05,377.83
2024-08-01 09:10:00,88.37,57.01,60.36,90.61,36.11,65.67,341.5,355.63
2024-08-01 09:20:00,88.3,56.66,62.35,91.84,43.93,68.56,338.03,362.94
2024-08-01 09:30:00,87.57,49.02,63.39,89.19,36.12,55.92,351.65,394.03
2024-08-01 09:40:00,84.07,51.83,65.77,89.78,32.84,59.21,334.88,346.52
2024-08-01 09:50:00,85.96,52.39,66.95,86.23,37.0,60.56,340.3,355.54
2024-08-01 10:00:00,87.49,45.0,69.3,87.92,19.83,22.01,214.85,378.08
2024-08-01 10:10:00,90.51,44.28,71.64,95.87,13.94,30.01,269.27,386.73
2024-08-01 10:20:00,85.48,45.76,74.01,88.01,7.41,11.08,249.13,364.47
2024-08-01 10:30:00,90.26,51.53,76.64,91.41,13.98,26.08,221.7,350.64
2024-08-01 10:40:00,88.74,47.4,79.6,95.64,15.59,35.55,263.99,344.91
2024-08-01 10:50:00,89.33,40.48,82.15,92.29,12.64,23.82,243.42,335.37
2024-08-01 11:00:00,91.18,43.27,84.76,94.66,5.0,10.0,220.49,400.24
2024-08-01 11:10:00,84.97,49.89,87.24,89.69,5.0,10.0,253.47,332.55
2024-08-01 11:20:00,92.13,37.26,90.41,96.85,6.55,14.02,227.58,420.83
2024-08-01 11:30:00,90.07,43.84,92.62,93.25,27.99,52.76,260.78,330.4
2024-08-01 11:40:00,93.12,51.17,95.23,95.8,9.3,16.27,235.3,381.19
2024-08-01 11:50:00,92.63,47.45,97.56,95.7,25.88,40.44,254.7,367.2
2024-08-01 12:00:00,95.0,49.94,100.0,95.42,13.66,11.08,278.8,368.6
2024-08-01 12:10:00,93.59,44.38,100.0,95.07,16.83,32.71,266.75,416.02
2024-08-01 12:20:00,90.59,47.16,100.0,97.97,6.33,10.59,218.45,334.79
2024-08-01 12:30:00,89.23,47.96,100.0,91.85,5.0,10.0,223.06,353.68
2024-08-01 12:40:00,87.95,55.6,100.0,92.75,18.14,43.79,268.71,383.36
2024-08-01 12:50:00,94.45,47.97,100.0,99.04,13.39,29.14,255.79,421.58
2024-08-01 13:00:00,89.4,37.34,100.0,93.17,16.87,27.18,223.77,389.84
2024-08-01 13:10:00,91.2,38.91,100.0,91.82,7.5,12.93,294.18,375.98
2024-08-01 13:20:00,95.0,41.6,100.0,95.47,25.05,45.09,316.68,389.01
2024-08-01 13:30:00,88.45,46.63,100.0,92.35,5.76,10.0,226.96,359.8
2024-08-01 13:40:00,91.39,42.21,100.0,97.75,10.3,25.07,255.66,358.2
2024-08-01 13:50:00,91.9,43.57,100.0,97.84,5.0,10.0,297.12,410.45
2024-08-01 14:00:00,81.71,48.6,100.0,84.52,27.62,54.78,286.0,377.49
2024-08-01 14:10:00,83.88,46.37,100.0,86.41,17.33,25.47,256.2,313.42
2024-08-01 14:20:00,86.29,41.6,100.0,88.05,11.51,18.4,287.24,416.62
2024-08-01 14:30:00,83.91,37.92,100.0,87.32,11.45,16.08,214.97,337.34
2024-08-01 14:40:00,89.6,48.46,100.0,95.04,19.26,26.42,209.28,354.1
2024-08-01 14:50:00,83.36,49.85,100.0,88.57,22.25,36.63,284.46,333.05
2024-08-01 15:00:00,91.2,55.46,100.0,94.51,14.74,25.15,282.06,374.23
2024-08-01 15:10:00,91.15,50.51,100.0,97.65,22.83,38.39,265.88,385.11
2024-08-01 15:20:00,83.84,48.22,100.0,89.4,14.29,30.38,246.86,387.76
2024-08-01 15:30:00,95.0,52.08,100.0,96.95,28.79,56.07,240.47,324.13
2024-08-01 15:40:00,92.57,61.1,100.0,96.58,13.87,25.24,228.86,374.96
2024-08-01 15:50:00,95.0,47.41,100.0,99.51,16.86,32.52,212.73,360.18
2024-08-01 16:00:00,90.1,52.36,100.0,94.87,18.29,27.74,248.01,311.84
2024-08-01 16:10:00,84.78,58.21,100.0,85.44,5.0,10.0,286.92,322.46
2024-08-01 16:20:00,80.51,54.47,100.0,85.1,11.96,15.73,287.01,327.04
2024-08-01 16:30:00,82.85,50.88,100.0,87.27,29.3,55.61,262.88,342.01
2024-08-01 16:40:00,85.91,51.27,100.0,89.46,20.58,36.13,267.18,313.84
2024-08-01 16:50:00,75.94,56.49,100.0,76.96,14.6,28.6,200.0,358.3
2024-08-01 17:00:00,82.68,58.78,100.0,86.53,18.26,27.56,328.3,271.69
2024-08-01 17:10:00,76.23,60.07,100.0,78.64,44.04,80.0,301.16,374.67
2024-08-01 17:20:00,77.06,55.45,100.0,82.44,24.96,46.79,329.52,303.77
2024-08-01 17:30:00,81.86,60.88,100.0,89.11,41.19,74.99,346.06,326.24
2024-08-01 17:40:00,83.63,57.16,100.0,87.23,29.98,54.18,320.02,335.69
2024-08-01 17:50:00,84.68,48.8,100.0,90.46,39.72,72.27,322.96,357.82
2024-08-01 18:00:00,80.92,61.65,99.99,83.15,20.94,33.33,382.06,321.12
2024-08-01 18:10:00,78.39,63.44,98.83,83.04,29.14,53.56,309.03,283.87
2024-08-01 18:20:00,80.35,57.85,99.21,84.44,35.23,64.78,329.59,297.02
2024-08-01 18:30:00,80.76,65.66,98.78,84.32,18.68,34.92,302.44,304.62
2024-08-01 18:40:00,75.07,65.71,98.31,80.05,28.4,46.03,338.12,327.65
2024-08-01 18:50:00,78.71,58.11,98.61,83.08,20.31,29.86,239.4,306.64
2024-08-01 19:00:00,71.75,67.33,98.03,77.81,30.98,49.95,372.03,320.33
2024-08-01 19:10:00,76.68,59.96,97.14,80.29,28.07,45.07,281.15,277.52
2024-08-01 19:20:00,72.6,56.74,96.17,73.96,33.56,62.42,344.96,303.28
2024-08-01 19:30:00,69.26,69.85,95.54,71.18,32.21,68.77,271.45,266.35
2024-08-01 19:40:00,69.15,58.66,94.83,73.86,32.93,55.8,317.31,300.47
2024-08-01 19:50:00,72.1,63.5,94.1,75.43,33.35,58.87,257.53,313.12
2024-08-01 20:00:00,77.17,66.87,93.27,81.95,5.0,11.38,240.18,277.84
2024-08-01 20:10:00,61.34,62.02,92.54,65.09,20.34,40.1,217.99,260.05
2024-08-01 20:20:00,67.22,70.1,91.78,71.16,11.89,19.99,239.7,250.0
2024-08-01 20:30:00,63.53,76.09,90.97,64.98,16.81,27.94,278.14,250.0
2024-08-01 20:40:00,67.68,65.39,90.33,71.65,24.96,43.74,267.33,287.98
2024-08-01 20:50:00,73.4,66.17,89.78,76.49,23.24,40.48,271.48,311.24
2024-08-01 21:00:00,67.08,69.47,89.34,71.27,18.51,30.99,246.74,276.32
2024-08-01 21:10:00,69.31,70.43,88.78,72.83,11.49,11.99,250.77,250.0
2024-08-01 21:20:00,61.08,67.01,87.81,64.79,26.45,41.96,229.56,250.0
2024-08-01 21:30:00,63.46,70.05,87.03,70.5,13.86,22.02,259.01,250.0
2024-08-01 21:40:00,68.28,71.5,85.87,71.83,17.98,30.03,200.0,259.28
2024-08-01 21:50:00,67.79,73.39,84.94,72.72,16.91,24.53,249.37,250.0
2024-08-01 22:00:00,68.71,74.12,83.93,72.46,5.0,10.0,231.46,275.0
2024-08-01 22:10:00,63.87,70.64,82.88,68.07,21.39,40.52,264.31,250.0
2024-08-01 22:20:00,64.9,73.57,82.01,70.63,28.56,52.02,200.0,251.95
2024-08-01 22:30:00,69.94,71.25,81.32,75.82,5.0,10.0,218.16,254.98
2024-08-01 22:40:00,61.48,74.78,80.45,67.02,8.7,12.14,239.41,250.0
2024-08-01 22:50:00,69.31,73.48,79.34,72.06,23.79,52.58,297.91,250.0
2024-08-01 23:00:00,61.49,78.44,78.36,65.67,13.01,10.0,264.19,257.34
2024-08-01 23:10:00,65.09,71.43,77.46,71.35,12.22,25.32,266.6,250.0
2024-08-01 23:20:00,67.18,73.0,76.79,73.23,17.99,29.08,227.86,259.71
2024-08-01 23:30:00,59.0,69.86,76.07,63.54,22.75,41.02,200.1,250.0
2024-08-01 23:40:00,66.12,77.52,75.31,69.38,5.9,10.0,209.46,250.0
2024-08-01 23:50:00,64.75,70.49,74.88,69.89,17.67,28.26,235.4,250.0
2024-08-02 00:00:00,59.0,78.29,74.09,62.49,17.1,39.7,272.72,250.0
2024-08-02 00:10:00,62.98,69.67,72.96,67.94,14.49,16.6,235.23,250.0
2024-08-02 00:20:00,59.94,70.72,72.26,66.97,14.65,22.42,241.92,250.0
2024-08-02 00:30:00,61.39,68.27,71.29,63.26,17.89,29.05,200.0,250.0
2024-08-02 00:40:00,59.51,72.87,70.9,62.9,27.65,42.32,226.68,250.0
2024-08-02 00:50:00,61.84,76.95,70.1,63.91,8.21,14.06,267.7,250.0
2024-08-02 01:00:00,64.59,70.99,69.29,67.22,11.41,19.79,260.41,250.0
2024-08-02 01:10:00,59.0,71.07,68.54,64.65,13.75,18.2,259.12,250.0
2024-08-02 01:20:00,59.76,70.58,68.17,61.25,10.13,12.97,261.88,250.0
2024-08-02 01:30:00,70.18,79.4,67.36,73.51,10.32,16.7,261.25,250.0
2024-08-02 01:40:00,62.74,73.89,66.64,62.92,15.48,29.45,251.37,250.0
2024-08-02 01:50:00,62.98,62.11,65.55,69.83,7.25,19.62,242.0,250.0
2024-08-02 02:00:00,64.14,73.99,64.94,65.32,18.72,32.88,285.82,250.0
2024-08-02 02:10:00,63.36,66.78,64.13,67.75,6.92,10.0,263.68,250.0
2024-08-02 02:20:00,64.1,72.75,63.29,68.25,5.0,12.03,204.55,250.0
2024-08-02 02:30:00,64.12,66.6,62.53,66.62,11.31,16.47,283.53,250.0
2024-08-02 02:40:00,69.92,72.31,61.94,73.47,12.53,19.83,264.19,250.0
2024-08-02 02:50:00,63.15,66.12,61.21,69.43,5.61,10.0,216.76,250.0
2024-08-02 03:00:00,67.18,80.0,60.35,70.54,16.39,33.23,259.51,250.0
2024-08-02 03:10:00,70.92,77.74,60.23,77.58,18.89,28.21,263.45,271.31
2024-08-02 03:20:00,64.0,67.24,59.48,66.0,15.33,35.13,276.43,250.0
2024-08-02 03:30:00,69.55,75.75,58.3,72.39,17.8,26.82,237.17,265.97
2024-08-02 03:40:00,61.46,66.67,57.65,64.19,19.14,32.42,234.99,250.0
2024-08-02 03:50:00,71.52,69.96,57.08,76.05,26.41,49.62,251.38,274.31
2024-08-02 04:00:00,69.07,70.72,56.12,75.04,25.15,39.13,262.08,252.11
2024-08-02 04:10:00,71.16,70.79,55.2,74.37,5.0,20.31,259.83,263.95
2024-08-02 04:20:00,70.53,62.65,54.58,75.41,11.47,10.0,272.05,250.0
2024-08-02 04:30:00,67.84,64.88,53.46,71.49,11.67,14.59,242.8,295.17
2024-08-02 04:40:00,68.12,74.42,52.58,76.06,22.93,42.45,271.86,250.0
2024-08-02 04:50:00,72.92,64.43,51.9,77.65,13.03,20.63,253.93,250.0
2024-08-02 05:00:00,74.55,56.94,51.36,78.79,22.01,30.71,254.33,298.91
2024-08-02 05:10:00,62.56,58.92,50.43,63.82,20.12,30.65,267.69,302.05
2024-08-02 05:20:00,74.95,74.84,49.64,78.82,7.62,22.86,288.01,296.89
2024-08-02 05:30:00,74.93,68.67,49.03,81.51,17.9,30.24,225.78,346.42
2024-08-02 05:40:00,70.92,64.86,48.16,70.66,7.69,20.46,309.03,285.69
2024-08-02 05:50:00,73.25,64.5,47.54,76.16,17.39,30.22,232.37,269.56
2024-08-02 06:00:00,85.72,66.95,47.52,90.44,5.0,10.0,232.24,304.81
2024-08-02 06:10:00,74.27,63.99,47.78,78.28,20.66,37.91,234.62,324.01
2024-08-02 06:20:00,77.45,66.36,47.8,83.48,16.72,21.57,228.87,315.28
2024-08-02 06:30:00,71.27,57.27,48.35,75.94,8.13,23.01,304.82,290.98
2024-08-02 06:40:00,79.47,58.51,48.72,83.78,17.63,22.97,236.17,292.16
2024-08-02 06:50:00,79.63,58.8,48.71,83.72,12.01,14.79,287.3,296.39
2024-08-02 07:00:00,87.97,55.53,50.42,89.12,35.03,59.37,351.01,309.18
2024-08-02 07:10:00,82.38,56.83,51.21,85.84,33.91,57.16,326.71,282.98
